id,name,location,days,price,type,best_for,season,description,activities,keywords,image,included,excluded
1,Kerala - Quick Kochi,Kochi (Kerala),4,13400,Heritage,Families|Couples,Winter|Spring,Explore the historical port city of Kochi.,Fort Kochi tour|Backwaters|Kathakali show,Kochi|Kerala|Quick|Heritage,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast,Flight|Lunch|Dinner
2,Hills of Kerala,Munnar (Kerala),4,16320,Nature & Wildlife,Couples|Nature Lovers,Winter|Monsoon,A serene getaway to the lush green hills of Kerala.,Tea estate visit|Nature walks|Houseboat stay,Munnar|Hills|Tea estate|Houseboat,https://images.unsplash.com/photo-1582560475093-ba66accbc424?auto=format&fit=crop&q=80&w=800,Houseboat|Hotel|Meals,Flight|Personal Expenses
3,Kerala - Munnar Calling,Munnar (Kerala),4,16470,Nature & Wildlife,Families|Couples,Winter|Summer,Experience the cool breeze and beautiful landscapes.,Eravikulam National Park|Mattupetty Dam|Echo Point,Munnar|Wildlife|Nature,https://images.unsplash.com/photo-1593693397690-362cb9666fc2?auto=format&fit=crop&q=80&w=800,Resort|Sightseeing|Breakfast,Flight|Dinner
4,Simply Kerala,Alleppey (Kerala),4,17020,Relaxation,Couples|Seniors,Winter,Relax in the tranquil backwaters of Kerala.,Houseboat cruise|Village tour|Ayurvedic massage,Alleppey|Backwaters|Ayurveda|Relaxation,https://images.unsplash.com/photo-1605538883669-825c5f2b9b0c?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast,Flight|Lunch|Dinner
5,Goa Beach Tour,Goa,3,11999,Beach,Friends|Couples,Winter|Spring,Enjoy sun sand and vibrant nightlife in Goa.,Beach hopping|Water sports|Party cruise,Goa|Beach|Party|Nightlife,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Party Cruise,Flight|Lunch|Dinner
6,Manali Snow Trip,Manali (Himachal Pradesh),5,14999,Adventure,Friends|Couples,Winter,Experience snow-capped peaks and valley views.,Solang Valley|Rohtang Pass|Snow scootering,Manali|Snow|Mountains|Adventure,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Dinner|Snow Gear,Flight|Lunch
7,Jaipur Heritage Tour,Jaipur (Rajasthan),4,9999,Heritage,Families|Solo,Winter,Step back in time to the royal era of Rajasthan.,Amber Fort|City Palace|Hawa Mahal,Jaipur|Royal|Heritage|Palace,https://images.unsplash.com/photo-1477587458883-47145ed94245?auto=format&fit=crop&q=80&w=800,Palace Stay|Transfers|Breakfast|Guide,Flight|Lunch|Dinner|Entry Fees
8,Royal Rajasthan,Udaipur & Jodhpur (Rajasthan),7,25999,Luxury & Heritage,Couples|Families,Winter,A grand tour across the lakes and forts of Rajasthan.,Lake Pichola boat ride|Mehrangarh Fort|Camel Safari,Rajasthan|Luxury|Forts|Lakes,https://images.unsplash.com/photo-1599661046289-e31897846e41?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Cultural Show,Flight|Lunch|Dinner|Camel Safari
9,Kashmir Valley Paradise,Srinagar (J&K),6,22500,Nature,Couples|Families,Spring|Summer,Heaven on earth with blooming gardens and serene lakes.,Shikara ride|Dal Lake|Gulmarg Gondola,Kashmir|Srinagar|Shikara|Gondola,https://images.unsplash.com/photo-1570784347717-d5abfb62c161?auto=format&fit=crop&q=80&w=800,Houseboat|Shikara Ride|Breakfast|Dinner,Flight|Lunch|Gondola Ride
10,Leh Ladakh Adventure,Leh (Ladakh),8,32000,Adventure,Friends|Solo,Summer,A rugged adventure through high-altitude passes and lakes.,Pangong Lake visiting|Khardung La pass|Monastery tours,Ladakh|Leh|Adventure|Bike|Passes,https://images.unsplash.com/photo-1596773410656-785d1e66c7f4?auto=format&fit=crop&q=80&w=800,Camps|Bike Rental|Permits|Breakfast|Dinner,Flight|Fuel|Lunch
11,Andaman Island Escapade,Port Blair (Andaman),5,28000,Beach & Adventure,Couples|Friends,Winter|Spring,Tropical island escape with crystal clear waters.,Scuba diving|Cellular Jail|Radhanagar Beach,Andaman|Beach|Scuba|Islands,https://images.unsplash.com/photo-1589136777351-fdc9c9cb1669?auto=format&fit=crop&q=80&w=800,Ferry|Resort|Breakfast|Scuba Diving Basics,Flight|Lunch|Dinner|Water Sports
12,Meghalaya Monsoon Magic,Shillong (Meghalaya),6,18500,Nature & Trekking,Friends|Nature Lovers,Monsoon|Autumn,Trek through the living root bridges and waterfalls.,Living root bridges trek|Dawki river boating|Cherrapunji,Meghalaya|Shillong|Trekking|Waterfalls,https://images.unsplash.com/photo-1621535451633-8aee0926d83a?auto=format&fit=crop&q=80&w=800,Homestay|Transfers|Breakfast|Trekking Guide,Flight|Lunch|Dinner
13,Sikkim Gateway,Gangtok (Sikkim),5,15400,Nature & Culture,Families|Friends,Spring|Summer,A peaceful retreat in the Himalayan foothills.,Nathu La Pass|Tsomgo Lake|Rumtek Monastery,Sikkim|Gangtok|Himalayas|Monasteries,https://images.unsplash.com/photo-1625447781075-8bd71f2536fc?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Permits,Flight|Lunch|Dinner
14,Majestic Mysore & Coorg,Coorg (Karnataka),5,12500,Nature & Heritage,Families|Couples,Winter|Monsoon,A blend of royal heritage and coffee plantations.,Mysore Palace|Abbey Falls|Coffee Plantation Tour,Mysore|Coorg|Coffee|Palace,https://images.unsplash.com/photo-1616147413643-41724fe60600?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Coffee Plantation Tour,Flight|Lunch|Dinner|Entry fees
15,Darjeeling Tea Retreat,Darjeeling (West Bengal),4,11200,Relaxation,Couples|Seniors,Spring|Autumn,Charming tea gardens with a view of Kanchenjunga.,Tiger Hill sunrise|Toy Train ride|Tea estate,Darjeeling|Tea|Himalayas|Toy Train,https://images.unsplash.com/photo-1544644181-1484b3f8c5b3?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Toy Train,Flight|Lunch|Dinner
16,Gujarat Wildlife & Rann,Kutch & Gir (Gujarat),6,19800,Wildlife & Culture,Families|Nature Lovers,Winter,Witness the white desert and Asiatic lions.,Gir Safari|Rann Utsav|Bhuj sightseeing,Gujarat|Rann of Kutch|Wildlife|Safari,https://images.unsplash.com/photo-1651833775293-8cfb5e40e69e?auto=format&fit=crop&q=80&w=800,Resort|Safari|Breakfast|Dinner,Flight|Lunch|Camera Fees
17,Uttarakhand Char Dham Yatra,Kedarnath & Badrinath (Uttarakhand),12,45000,Spiritual,Families|Seniors,Summer,The ultimate spiritual pilgrimage in the Himalayas.,Temple Darshan|Ganga Aarti|Trekking,Uttarakhand|Char Dham|Spiritual|Himalayas,https://images.unsplash.com/photo-1623861214343-238d9dc138e6?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Dinner|VIP Darshan,Flight|Lunch|Helicopter Ride
18,Agra & Golden Triangle,Agra (UP) & Delhi,5,14000,Heritage,Families|Solo,Winter|Spring,A comprehensive tour of India's golden triangle.,Taj Mahal visit|Agra Fort|Delhi Monuments,Agra|Delhi|Taj Mahal|Heritage,https://images.unsplash.com/photo-1564507592224-200159aec8bb?auto=format&fit=crop&q=80&w=800,Hotel|Transfers|Breakfast|Taj Mahal Entry,Flight|Lunch|Dinner
